FError,LOC,XP,foosball,Partays,B$+
1,24677,moderate,yes,many,no
1,27138,extensive,no,some,yes
0,32273,extensive,no,some,yes
0,40079,extensive,no,some,yes
0,8130,moderate,yes,none,yes
0,10622,moderate,yes,some,no
1,20048,extensive,no,many,no
1,16032,moderate,yes,some,no
0,25202,extensive,yes,some,yes
1,25015,minimal,yes,many,yes
1,30918,moderate,no,none,no
0,18957,minimal,yes,some,no
0,60797,extensive,yes,none,yes
0,11016,moderate,yes,none,no
0,9069,moderate,yes,none,yes
1,10853,minimal,yes,none,no
0,13999,moderate,no,none,yes
1,10401,minimal,yes,none,yes
1,55801,minimal,no,many,yes
1,24284,extensive,no,many,no
1,20842,minimal,yes,some,no
0,25695,moderate,no,none,yes
0,19307,moderate,no,none,no
0,20117,extensive,no,some,yes
1,17369,minimal,no,some,no
1,41171,minimal,no,some,yes
1,32086,minimal,no,some,no
1,42692,moderate,yes,some,no
0,26966,moderate,yes,some,yes
0,17696,extensive,yes,none,yes
1,26672,minimal,yes,some,yes
1,35668,extensive,no,some,yes
0,21328,minimal,no,some,no
0,43004,minimal,yes,none,no
1,31280,moderate,no,some,no
1,43450,moderate,yes,some,no
1,32159,minimal,yes,none,no
0,27996,extensive,yes,none,no
1,52691,moderate,no,some,no
0,6490,moderate,yes,some,no
1,33173,minimal,no,some,yes
1,64132,minimal,yes,some,yes
0,2337,extensive,no,none,yes
1,60951,extensive,yes,many,yes
0,23625,extensive,no,none,yes
0,14802,extensive,yes,many,yes
0,12903,extensive,no,many,yes
1,21464,minimal,no,none,yes
1,27241,minimal,no,some,no
0,15646,moderate,yes,many,no
0,46523,extensive,yes,some,yes
0,65314,extensive,yes,none,yes
0,5454,extensive,no,some,yes
1,76192,extensive,yes,some,yes
1,35899,minimal,no,some,no
0,3998,minimal,yes,some,no
1,14438,moderate,no,some,no
1,31713,moderate,yes,many,no
0,20147,minimal,no,some,yes
0,19333,extensive,no,some,yes
1,73936,moderate,no,some,yes
0,20459,extensive,no,many,yes
0,17607,minimal,yes,some,no
1,57445,minimal,no,none,no
1,29326,moderate,yes,many,no
1,36170,minimal,yes,none,yes
1,28911,extensive,no,none,no
0,47759,minimal,yes,none,no
1,63806,moderate,no,some,no
1,12350,moderate,yes,none,yes
1,77440,minimal,no,many,no
0,28895,extensive,yes,none,no
0,23347,moderate,no,none,no
0,17508,minimal,no,none,no
0,22435,extensive,no,none,yes
0,13284,minimal,yes,some,no
1,43047,minimal,yes,none,no
0,15269,extensive,yes,none,yes
1,8859,minimal,no,some,no
1,39189,moderate,no,many,yes
1,26039,minimal,yes,many,no
0,17741,extensive,yes,many,yes
1,49493,minimal,no,many,no
1,29093,extensive,no,many,yes
1,50704,minimal,yes,some,no
0,12050,extensive,no,some,yes
1,44063,extensive,no,some,yes
0,20577,moderate,yes,some,yes
0,39295,minimal,no,some,no
1,35096,minimal,yes,many,no
0,66115,extensive,yes,some,yes
0,10418,moderate,yes,some,yes
1,36974,moderate,yes,many,no
0,42062,moderate,no,many,yes
1,28500,moderate,yes,none,no
1,41472,minimal,no,many,no
0,21757,moderate,yes,none,yes
1,29982,minimal,yes,some,no
1,16057,moderate,yes,some,yes
1,70259,minimal,yes,none,no
1,44018,extensive,no,some,no
1,35266,minimal,yes,none,no
1,33846,extensive,yes,many,yes
1,43041,extensive,yes,many,yes
1,53178,extensive,no,some,yes
1,62445,minimal,no,some,no
0,6337,extensive,no,none,yes
0,7241,minimal,yes,none,no
1,65232,moderate,no,none,yes
1,68316,minimal,no,some,no
1,8119,moderate,no,none,yes
0,21950,extensive,no,some,yes
0,11682,minimal,no,some,no
0,18606,extensive,yes,none,no
0,4064,moderate,yes,many,no
0,6157,extensive,no,many,yes
1,20128,minimal,no,some,no
0,27086,minimal,no,none,no
1,26884,minimal,no,many,no
1,31788,extensive,no,many,yes
1,25402,moderate,yes,some,yes
1,7525,minimal,yes,none,yes
0,40792,extensive,yes,some,yes
1,48920,moderate,no,many,yes
0,9552,minimal,yes,none,no
1,15151,minimal,no,many,no
1,30205,moderate,yes,many,yes
0,17609,minimal,yes,some,yes
0,46982,moderate,no,many,no
0,27241,moderate,yes,many,yes
0,20986,extensive,yes,some,yes
1,48939,minimal,yes,some,no
1,44066,extensive,no,some,yes
1,23648,moderate,no,many,yes
1,60045,minimal,yes,some,no
0,29871,moderate,no,many,no
1,38616,moderate,yes,some,no
1,46863,minimal,no,some,no
0,20468,extensive,no,some,yes
0,30446,extensive,yes,some,yes
0,23743,extensive,yes,none,yes
0,13267,extensive,yes,many,yes
