FError,LOC,XP,foosball,Partays,B$+
0,38476,moderate,no,none,yes
0,27380,moderate,yes,some,yes
0,35621,extensive,yes,some,yes
1,7522,minimal,yes,none,no
0,10200,moderate,yes,none,no
0,18078,extensive,yes,none,yes
0,54789,extensive,yes,some,yes
0,22132,moderate,yes,some,yes
1,57266,moderate,no,some,no
0,26452,moderate,yes,none,yes
0,13335,extensive,no,many,yes
1,15886,minimal,no,many,no
1,53026,moderate,yes,none,yes
0,66461,extensive,no,some,yes
1,40756,minimal,yes,none,no
1,10720,minimal,no,some,no
0,16486,moderate,yes,many,no
0,16327,minimal,yes,none,no
0,5146,moderate,no,some,yes
0,10735,extensive,yes,none,yes
0,33241,extensive,yes,some,no
1,40654,extensive,yes,none,yes
0,8649,moderate,no,some,no
1,47709,minimal,no,none,no
1,35089,moderate,yes,some,yes
1,41766,minimal,yes,none,no
1,25512,extensive,yes,many,no
1,42754,extensive,yes,many,yes
1,14295,moderate,yes,some,no
1,24293,minimal,no,none,no
0,35413,extensive,no,some,yes
1,60012,extensive,no,none,yes
0,33013,moderate,no,some,no
1,44088,minimal,no,many,no
0,13075,moderate,no,some,yes
1,35621,extensive,yes,some,yes
1,21622,minimal,yes,none,no
0,17762,extensive,yes,some,no
1,41884,extensive,yes,many,yes
0,10985,moderate,no,some,no
0,53285,moderate,yes,none,no
0,37695,extensive,yes,none,yes
1,51930,moderate,yes,many,no
0,18690,moderate,no,many,yes
0,11316,moderate,yes,many,no
1,39215,minimal,yes,some,yes
0,15379,moderate,no,some,no
1,17301,moderate,yes,none,no
0,77054,extensive,yes,some,yes
0,5944,moderate,yes,some,no
0,12642,extensive,yes,some,yes
1,30118,extensive,yes,many,no
1,37912,moderate,yes,many,yes
1,44593,moderate,yes,some,yes
1,25033,moderate,yes,none,no
1,29331,moderate,yes,some,yes
0,18880,minimal,yes,none,no
0,27729,moderate,yes,some,no
0,41542,extensive,yes,none,yes
0,22199,moderate,no,none,yes
0,8946,minimal,yes,none,no
1,24042,moderate,yes,many,yes
0,48446,moderate,yes,none,no
1,40970,extensive,yes,none,yes
0,23150,extensive,yes,some,yes
0,6689,minimal,no,some,no
0,12764,extensive,no,some,yes
0,14867,moderate,no,none,yes
0,6495,minimal,yes,some,no
0,33809,extensive,no,some,yes
1,50523,minimal,yes,some,no
0,26152,moderate,no,some,no
1,80033,minimal,no,some,no
0,47840,moderate,yes,some,yes
0,9087,minimal,no,some,no
1,30615,moderate,no,some,yes
1,20404,moderate,yes,many,no
0,15470,moderate,yes,some,no
0,17745,moderate,yes,many,yes
0,10045,moderate,no,none,no
0,21616,moderate,yes,none,yes
0,6262,minimal,no,none,no
0,58429,minimal,no,some,no
0,24720,extensive,yes,some,yes
0,14540,minimal,yes,some,no
1,21021,minimal,no,none,yes
0,50812,extensive,yes,none,yes
0,10154,moderate,yes,many,no
1,22896,minimal,no,some,no
1,39981,moderate,no,some,yes
1,27438,moderate,yes,some,yes
0,38188,extensive,yes,none,yes
0,22950,minimal,yes,none,no
1,33077,moderate,yes,some,no
1,51987,minimal,no,some,yes
0,18747,extensive,yes,some,yes
1,11347,minimal,yes,many,no
0,23449,minimal,no,none,yes
1,35754,moderate,no,some,yes
1,52013,extensive,no,some,no
0,48114,extensive,yes,some,no
0,9690,moderate,yes,some,no
1,52213,minimal,no,some,no
0,27029,minimal,no,some,no
1,15939,minimal,no,many,yes
1,34236,minimal,no,many,yes
1,23432,moderate,yes,some,yes
0,20014,moderate,no,some,yes
0,6206,minimal,yes,some,no
0,43621,minimal,no,some,yes
1,16286,minimal,yes,many,no
1,13570,minimal,yes,many,no
1,35092,moderate,yes,many,no
0,6054,moderate,yes,some,yes
1,41387,moderate,no,many,no
1,53204,moderate,no,none,no
0,10678,extensive,yes,none,yes
1,44258,extensive,no,some,yes
0,10082,minimal,yes,some,no
0,5641,moderate,yes,some,no
1,20901,minimal,yes,some,no
1,40419,minimal,no,some,yes
1,50668,minimal,yes,some,no
0,44308,minimal,yes,some,no
0,46115,extensive,no,none,yes
0,37693,extensive,no,many,yes
0,37835,extensive,yes,some,no
0,42714,extensive,yes,some,yes
0,5112,extensive,yes,some,yes
1,59039,moderate,yes,some,yes
0,33017,extensive,yes,many,yes
0,36713,moderate,no,some,no
0,24551,extensive,no,some,yes
1,38788,extensive,yes,some,no
0,16122,extensive,yes,many,yes
0,27185,extensive,yes,some,no
1,45238,minimal,yes,some,yes
1,68659,extensive,yes,many,yes
0,30314,extensive,no,some,yes
0,19871,extensive,no,some,yes
1,55142,moderate,yes,none,no
0,37700,moderate,no,many,yes
1,18845,extensive,no,many,yes
1,89762,minimal,yes,none,no
0,19735,extensive,yes,some,no
1,31350,extensive,no,none,yes
0,29195,extensive,yes,none,yes
1,31899,minimal,yes,none,no
1,25990,extensive,yes,none,yes
0,39799,extensive,no,none,yes
1,50877,minimal,no,some,no
1,8103,minimal,no,some,yes
0,43163,extensive,yes,many,yes
1,51061,minimal,yes,some,yes
1,47875,moderate,no,some,yes
0,25832,moderate,no,none,yes
0,26253,minimal,no,some,no
0,11941,minimal,no,many,no
0,44333,moderate,yes,some,no
0,24038,extensive,yes,none,no
1,51457,minimal,yes,some,no
1,16189,moderate,yes,some,yes
1,44455,extensive,no,many,no
0,7631,extensive,no,some,yes
0,39171,extensive,yes,many,yes
0,30235,extensive,no,some,yes
0,18428,moderate,yes,none,yes
0,17128,extensive,yes,some,yes
0,5391,minimal,yes,some,yes
0,43217,extensive,yes,some,no
0,51072,extensive,yes,some,yes
1,26030,extensive,yes,some,yes
0,18399,minimal,yes,some,no
1,12700,moderate,yes,some,no
0,11781,extensive,no,none,yes
0,34878,moderate,no,some,yes
1,56882,minimal,yes,some,yes
0,17737,minimal,no,some,no
1,39176,moderate,no,some,no
1,17027,minimal,yes,none,no
0,6162,extensive,yes,none,yes
0,52625,moderate,yes,some,yes
1,39322,minimal,no,many,yes
0,26835,extensive,no,none,yes
0,14732,minimal,yes,many,no
0,7546,minimal,no,some,no
0,14883,minimal,yes,some,no
1,37124,moderate,yes,some,no
0,13674,extensive,yes,some,no
0,15808,extensive,yes,some,yes
1,66789,minimal,yes,some,no
1,15052,extensive,yes,many,no
1,81697,moderate,yes,many,yes
0,19472,minimal,no,none,yes
0,20203,extensive,no,many,yes
1,26670,minimal,no,many,no
0,11982,moderate,yes,none,no
0,43939,moderate,no,some,no
0,26041,extensive,yes,many,yes
0,23038,extensive,yes,some,yes
1,38247,minimal,yes,some,yes
0,10013,minimal,yes,some,no
1,32246,minimal,no,some,yes
0,49679,extensive,yes,none,yes
0,14252,moderate,yes,some,no
1,42492,minimal,no,some,no
0,23020,extensive,yes,some,yes
0,8904,extensive,yes,some,yes
0,29350,extensive,no,some,yes
0,15196,extensive,yes,some,no
1,18124,moderate,yes,none,no
0,39351,moderate,no,some,no
1,33770,moderate,yes,many,no
1,43271,moderate,yes,none,no
1,23688,minimal,yes,some,no
0,47325,minimal,yes,some,no
0,20958,extensive,no,some,yes
0,57773,extensive,yes,some,yes
1,18772,minimal,no,none,no
1,18166,moderate,yes,some,no
1,42553,minimal,no,some,yes
1,16297,extensive,no,none,no
1,10773,moderate,yes,some,no
1,46874,minimal,yes,many,no
1,28041,moderate,yes,many,yes
0,28235,extensive,no,some,yes
0,12769,extensive,yes,some,yes
1,26269,moderate,yes,many,no
0,20481,moderate,yes,none,no
1,41867,extensive,yes,none,yes
1,12544,extensive,yes,some,no
0,29102,extensive,yes,none,yes
1,28540,extensive,no,none,yes
0,9768,moderate,no,some,no
0,33750,extensive,yes,none,no
0,31135,moderate,yes,none,no
0,23111,extensive,no,none,no
0,23432,extensive,yes,none,yes
1,47636,minimal,no,some,yes
0,33932,extensive,yes,none,yes
1,55955,minimal,yes,many,no
1,54301,moderate,no,none,yes
0,23467,moderate,yes,some,yes
0,16326,minimal,yes,some,no
1,39844,extensive,no,many,yes
1,29945,moderate,yes,some,no
0,39075,moderate,yes,some,yes
1,16138,minimal,no,many,no
1,29163,moderate,no,some,yes
