FError,LOC,XP,foosball,Partays,B$+
0,22302,extensive,no,many,yes
1,25977,minimal,no,none,no
0,10924,minimal,yes,some,no
0,2500,minimal,no,some,no
0,54810,extensive,no,none,yes
1,33784,extensive,yes,many,no
1,59701,extensive,yes,some,yes
1,41528,minimal,no,many,yes
1,48248,moderate,yes,many,no
0,10574,extensive,yes,some,yes
1,26366,moderate,no,some,yes
0,12743,moderate,yes,some,yes
0,41600,extensive,no,some,yes
1,52569,minimal,yes,none,yes
0,26016,extensive,no,none,yes
0,10596,minimal,yes,none,no
0,24897,moderate,yes,some,yes
0,25445,extensive,no,none,yes
0,25756,minimal,yes,some,yes
1,18628,moderate,yes,none,no
0,48212,extensive,no,some,no
1,65103,extensive,yes,some,yes
0,29865,extensive,yes,none,no
1,27254,moderate,yes,none,no
0,36724,minimal,yes,some,no
0,23084,moderate,yes,some,no
1,41251,extensive,yes,some,yes
1,10770,minimal,yes,many,yes
1,10753,moderate,no,many,no
0,8691,moderate,no,some,no
1,35699,minimal,yes,some,no
0,14940,minimal,yes,some,no
0,17507,minimal,no,none,yes
1,72704,minimal,no,some,no
1,12488,moderate,no,none,yes
1,59308,extensive,yes,none,yes
0,12892,moderate,no,none,yes
0,31813,extensive,no,some,yes
0,25891,extensive,yes,none,no
0,37516,moderate,yes,some,no
1,28670,extensive,no,none,yes
0,24742,extensive,yes,none,yes
1,12569,minimal,yes,none,yes
0,14848,extensive,yes,many,no
0,33795,extensive,yes,none,yes
0,6681,moderate,yes,some,yes
0,30750,extensive,yes,some,no
0,22063,extensive,no,some,yes
1,20331,moderate,no,some,no
0,39066,extensive,no,none,no
1,6357,minimal,no,many,no
1,44470,moderate,no,some,yes
0,35449,extensive,no,none,yes
0,16138,moderate,yes,none,yes
0,11746,minimal,no,many,yes
0,7888,extensive,yes,some,yes
0,23802,extensive,yes,some,yes
1,34134,minimal,yes,some,no
0,18635,minimal,no,none,no
0,18120,extensive,no,none,yes
1,35646,minimal,yes,some,yes
0,5626,moderate,no,none,no
0,18500,extensive,no,some,yes
1,66750,extensive,yes,many,yes
1,35347,moderate,no,many,no
0,26058,extensive,yes,none,yes
1,27241,minimal,yes,none,no
0,25497,extensive,yes,none,yes
1,38229,extensive,yes,many,yes
0,22375,moderate,no,some,no
0,26303,extensive,no,some,yes
1,32009,minimal,yes,many,no
0,27976,moderate,yes,some,no
1,33872,minimal,no,many,no
0,21411,moderate,yes,many,yes
1,60481,minimal,no,some,no
0,19494,moderate,yes,many,yes
1,36974,moderate,yes,many,yes
1,50269,minimal,no,none,no
1,65061,minimal,no,many,yes
0,12076,extensive,no,some,yes
0,43230,moderate,no,none,no
0,20555,moderate,yes,none,yes
0,10864,moderate,yes,none,yes
1,42314,minimal,yes,none,no
1,30088,moderate,yes,many,no
1,11042,extensive,no,many,yes
1,45326,minimal,no,some,no
1,35153,minimal,yes,many,no
0,15872,moderate,no,many,yes
1,60126,minimal,yes,many,no
0,35776,extensive,yes,some,yes
0,24758,minimal,yes,some,no
1,23415,extensive,yes,none,yes
0,6582,extensive,yes,many,yes
0,5092,minimal,no,none,no
0,32397,minimal,yes,some,no
0,31737,extensive,yes,some,yes
1,75944,minimal,no,many,no
1,51103,minimal,yes,some,no
0,13729,extensive,yes,many,yes
1,34925,moderate,yes,some,no
1,29158,extensive,no,some,no
1,38171,extensive,no,none,no
1,8348,minimal,no,none,no
1,25818,extensive,no,none,yes
0,10452,minimal,yes,some,no
1,28206,moderate,yes,none,yes
1,34773,minimal,no,some,yes
0,6038,extensive,yes,some,yes
0,42520,minimal,no,some,no
0,8348,extensive,yes,many,yes
1,36672,extensive,no,many,no
1,31751,moderate,no,none,yes
0,37049,minimal,yes,some,no
0,14490,extensive,yes,none,yes
0,21211,extensive,yes,some,yes
0,47631,minimal,no,some,no
1,55316,moderate,no,some,yes
1,15968,minimal,yes,some,no
1,61362,minimal,no,some,no
1,76850,moderate,yes,some,no
0,31687,moderate,no,some,no
0,14971,moderate,no,some,no
0,37026,moderate,yes,some,no
0,30871,extensive,yes,some,yes
0,18172,extensive,yes,none,yes
1,44749,minimal,no,many,no
0,21063,extensive,yes,many,yes
0,40639,moderate,no,some,no
0,32214,moderate,yes,none,yes
1,61434,extensive,no,some,yes
1,22295,moderate,yes,some,yes
1,47581,extensive,yes,many,yes
1,54423,minimal,yes,many,no
0,36251,moderate,no,some,yes
1,31600,moderate,yes,none,no
0,17859,moderate,no,some,yes
1,14852,minimal,yes,some,no
1,12559,minimal,yes,none,yes
0,16840,minimal,no,some,no
1,42518,moderate,yes,none,no
0,59207,extensive,yes,some,yes
0,34370,extensive,yes,some,yes
0,9110,moderate,yes,some,no
0,28534,moderate,yes,none,no
1,22459,minimal,no,some,no
0,8892,minimal,yes,some,yes
1,23289,minimal,yes,many,no
1,12102,minimal,no,some,no
1,36807,minimal,no,none,yes
1,57068,extensive,yes,many,yes
0,15206,moderate,yes,some,yes
0,26518,extensive,yes,none,no
1,11440,moderate,yes,many,no
1,31456,extensive,no,some,no
0,42718,extensive,no,none,yes
1,28230,moderate,yes,none,yes
0,19018,minimal,yes,many,no
0,16627,extensive,yes,some,yes
0,35077,moderate,yes,none,yes
0,44202,extensive,yes,some,yes
0,11360,minimal,yes,some,no
1,29459,minimal,yes,some,no
1,40321,minimal,yes,many,no
1,43160,moderate,no,some,no
0,28477,extensive,yes,some,yes
0,27972,extensive,yes,none,yes
0,17542,minimal,no,none,no
0,6635,minimal,yes,none,no
0,9811,extensive,yes,some,yes
0,36969,extensive,yes,some,no
0,8467,minimal,no,none,no
0,26554,minimal,no,some,no
0,29321,extensive,yes,some,yes
1,23460,minimal,no,none,no
1,28582,minimal,no,many,no
1,39726,moderate,yes,many,no
0,44709,extensive,no,none,yes
0,28120,extensive,yes,none,yes
0,18759,moderate,yes,none,no
1,41400,moderate,yes,many,no
0,10949,moderate,yes,some,no
0,20329,minimal,no,some,yes
0,13275,extensive,yes,some,yes
0,12964,extensive,yes,many,no
1,37143,moderate,yes,some,yes
0,35790,minimal,yes,some,no
1,11479,minimal,yes,some,no
0,13453,extensive,yes,many,yes
0,8346,extensive,no,some,yes
0,14877,minimal,no,some,no
0,35741,extensive,yes,some,yes
0,14584,extensive,no,some,yes
0,5833,extensive,yes,some,no
