PID,LOC,"Debug Time","Bugs REM"
D94115,9649,22 hours and 26 minutes,180
D26133,43148,149 hours and 53 minutes,697
D68471,6490,11 hours and 58 minutes,169
D97973,14860,33 hours and 35 minutes,284
D42694,34761,49 hours and 0 minutes,1223
D91681,6753,26 hours and 50 minutes,94
D85928,14724,43 hours and 8 minutes,235
D15146,40237,313 hours and 25 minutes,362
D55712,25286,46 hours and 15 minutes,673
D71631,38853,75 hours and 2 minutes,976
D61154,19131,76 hours and 9 minutes,271
D21754,46758,103 hours and 48 minutes,854
D89695,2648,12 hours and 20 minutes,33
D19412,38741,277 hours and 34 minutes,361
D53293,38088,71 hours and 46 minutes,880
D87825,16699,86 hours and 17 minutes,198
D58666,26671,191 hours and 0 minutes,257
D94783,9386,73 hours and 10 minutes,83
D87482,49036,275 hours and 29 minutes,542
D47434,37355,159 hours and 58 minutes,504
D41118,19675,15 hours and 29 minutes,774
D99929,47864,371 hours and 49 minutes,423
D13734,41223,118 hours and 41 minutes,748
D39852,25429,39 hours and 6 minutes,743
D78828,9926,13 hours and 17 minutes,257
D29628,22023,89 hours and 11 minutes,309
D44922,44770,64 hours and 17 minutes,1405
D64846,46889,310 hours and 26 minutes,468
D91768,32126,74 hours and 1 minutes,616
D77933,27677,144 hours and 32 minutes,317
D67169,17464,116 hours and 31 minutes,177
D22866,30352,145 hours and 48 minutes,363
D49298,7484,43 hours and 44 minutes,83
D59196,16750,110 hours and 44 minutes,163
D21878,15091,67 hours and 13 minutes,199
D21132,40972,309 hours and 29 minutes,369
D86913,40806,131 hours and 17 minutes,619
D73734,31877,175 hours and 55 minutes,358
D47319,37503,188 hours and 2 minutes,474
D88681,38599,173 hours and 38 minutes,489
D75814,10448,55 hours and 35 minutes,122
D83349,10715,68 hours and 27 minutes,106
D73681,32906,66 hours and 16 minutes,670
D67734,28184,63 hours and 4 minutes,539
D98644,19629,14 hours and 28 minutes,788
D81158,25905,90 hours and 24 minutes,350
D79111,38539,193 hours and 0 minutes,453
D61526,25469,180 hours and 58 minutes,238
D23461,19807,29 hours and 45 minutes,614
D67569,41283,211 hours and 1 minutes,507
D12566,4532,16 hours and 14 minutes,71
D38851,33177,163 hours and 38 minutes,404
D86146,35851,178 hours and 6 minutes,424
D86673,35824,93 hours and 8 minutes,644
D46731,29676,100 hours and 56 minutes,458
D93438,37407,36 hours and 49 minutes,1418
D41213,36990,51 hours and 22 minutes,842
D78279,44701,305 hours and 53 minutes,427
D52844,19276,80 hours and 18 minutes,265
D29677,8657,21 hours and 3 minutes,159
D57343,21926,109 hours and 2 minutes,255
D22851,44247,300 hours and 30 minutes,424
D86738,27137,121 hours and 9 minutes,358
D54826,34279,259 hours and 47 minutes,310
D81676,30180,88 hours and 29 minutes,498
D86244,33859,40 hours and 25 minutes,939
D42248,40037,238 hours and 20 minutes,448
D31999,17984,51 hours and 35 minutes,295
D95144,35968,80 hours and 12 minutes,736
D84365,22778,42 hours and 22 minutes,512
D62423,18017,28 hours and 52 minutes,550
D34217,48885,167 hours and 3 minutes,737
D26729,16695,88 hours and 19 minutes,202
D25182,27239,40 hours and 11 minutes,632
D52755,33426,180 hours and 9 minutes,376
D15127,24370,172 hours and 44 minutes,232
D82778,9660,8 hours and 49 minutes,355
D97965,20795,65 hours and 39 minutes,353
D85395,14579,85 hours and 53 minutes,157
D94346,7699,14 hours and 29 minutes,145
D71282,21365,135 hours and 25 minutes,218
D42748,22715,164 hours and 50 minutes,212
D62753,29702,163 hours and 20 minutes,332
D11574,35981,225 hours and 24 minutes,374
D61488,27188,67 hours and 31 minutes,486
D11335,36097,233 hours and 49 minutes,356
D51723,36592,291 hours and 10 minutes,316
D88972,17313,134 hours and 48 minutes,156
D43437,16917,64 hours and 27 minutes,238
D71719,32964,117 hours and 8 minutes,547
D57872,36331,118 hours and 26 minutes,537
D61599,7995,12 hours and 59 minutes,153
D89266,37822,176 hours and 7 minutes,491
D49689,23450,120 hours and 33 minutes,262
D41475,28373,148 hours and 43 minutes,323
D83967,10929,85 hours and 9 minutes,97
D46536,24036,181 hours and 23 minutes,219
D67342,11059,33 hours and 25 minutes,188
D46871,45054,328 hours and 40 minutes,417
D76421,14613,16 hours and 49 minutes,471
D34443,26104,136 hours and 28 minutes,309
D34227,27146,207 hours and 42 minutes,247
D82924,30764,193 hours and 12 minutes,325
D48642,19843,94 hours and 39 minutes,244
D31959,29136,77 hours and 18 minutes,523
D78845,45005,155 hours and 54 minutes,727
D63351,18895,12 hours and 17 minutes,1626
D37311,41826,317 hours and 23 minutes,376
D93434,35323,262 hours and 36 minutes,327
